iter	Passed	Remaining
532	9071	24968
533	9088	24950
534	9112	24953
535	9126	24928
536	9140	24903
537	9155	24878
538	9169	24853
539	9183	24829
540	9199	24810
541	9216	24791
542	9230	24767
543	9245	24744
544	9259	24719
545	9273	24694
546	9287	24670
547	9303	24652
548	9319	24631
549	9333	24606
550	9347	24582
551	9361	24557
552	9375	24533
553	9390	24510
554	9407	24493
555	9422	24470
556	9436	24447
557	9450	24423
558	9465	24399
559	9479	24375
560	9493	24352
561	9508	24329
562	9524	24309
563	9539	24287
564	9552	24262
565	9567	24238
566	9581	24215
567	9595	24191
568	9609	24167
569	9624	24145
570	9639	24123
571	9654	24101
572	9669	24080
573	9684	24060
574	9699	24036
575	9713	24012
576	9727	23989
577	9741	23967
578	9757	23946
579	9772	23925
580	9787	23904
581	9801	23880
582	9816	23858
583	9830	23835
584	9845	23813
585	9859	23791
586	9874	23770
587	9889	23747
588	9903	23725
589	9919	23705
590	9937	23691
591	9954	23676
592	9969	23654
593	9985	23635
594	10001	23616
595	10016	23595
596	10031	23575
597	10047	23557
598	10063	23538
599	10078	23517
600	10095	23499
601	10110	23480
602	10126	23460
603	10141	23440
604	10158	23422
605	10173	23401
606	10189	23383
607	10205	23365
608	10222	23347
609	10237	23328
610	10254	23311
611	10271	23294
612	10288	23278
613	10304	23260
614	10320	23242
615	10340	23231
616	10357	23215
617	10374	23199
618	10391	23183
619	10409	23168
620	10424	23148
621	10440	23129
622	10455	23110
623	10471	23091
624	10487	23071
625	10501	23049
626	10515	23027
627	10530	23006
628	10545	22984
629	10559	22962
630	10574	22941
631	10590	22924
632	10606	22905
633	10622	22886
634	10638	22868
635	10656	22854
636	10672	22836
637	10688	22818
638	10703	22797
639	10718	22776
640	10733	22757
641	10750	22740
642	10765	22720
643	10782	22703
644	10798	22685
645	10813	22665
646	10829	22646
647	10845	22628
648	10861	22609
649	10877	22590
650	10892	22572
651	10910	22556
652	10926	22538
653	10943	22522
654	10959	22504
655	10975	22487
656	10993	22473
657	11012	22461
658	11031	22447
659	11050	22436
660	11068	22421
661	11089	22412
662	11106	22397
663	11125	22385
664	11144	22371
665	11160	22353
666	11178	22339
667	11196	22326
668	11214	22311
669	11230	22294
670	11247	22277
671	11264	22260
672	11283	22247
673	11303	22237
674	11324	22228
675	11343	22217
676	11362	22203
677	11379	22188
678	11395	22170
679	11412	22154
680	11427	22133
681	11443	22115
682	11460	22099
683	11478	22083
684	11496	22070
685	11513	22052
686	11530	22036
687	11546	22018
688	11561	21998
689	11576	21977
690	11591	21958
691	11606	21937
692	11622	21921
693	11639	21903
694	11656	21887
695	11674	21873
696	11690	21855
697	11708	21841
698	11725	21823
699	11743	21809
700	11759	21791
701	11775	21773
702	11792	21757
703	11810	21741
704	11827	21726
705	11844	21709
706	11863	21695
707	11884	21688
708	11902	21672
709	11920	21658
710	11937	21641
711	11952	21622
712	11969	21605
713	11985	21587
714	12000	21567
715	12017	21550
716	12033	21532
717	12048	21513
718	12064	21494
719	12080	21476
720	12096	21458
721	12113	21441
722	12129	21423
723	12145	21404
724	12161	21387
725	12178	21370
726	12193	21350
727	12207	21330
728	12223	21311
729	12238	21292
730	12253	21271
731	12268	21251
732	12282	21230
733	12297	21210
734	12312	21190
735	12330	21175
736	12345	21155
737	12359	21134
738	12375	21116
739	12392	21099
740	12408	21082
741	12425	21066
742	12442	21050
743	12459	21034
744	12476	21016
745	12491	20997
746	12507	20979
747	12524	20963
748	12540	20946
